0
769,2398185
1575,258215
2400,041835
3225,702088
4039,001353
4826,972433
5582,170109
6298,53165
6973,981466
7607,351812
8199,148142
8747,494058
9253,569296
9716,286276
10140,8026
10523,25094
10862,21729
11155,38126
11405,64611
11610,29314
11770,92717
11890,18647
11967,97154
12006,87431
12007,29657
11972,1904
11906,10252
11805,3915
11672,67494
11513,64656
11330,76963
11136,21091
10922,99626
10703,93512
10472,3593
10241,39045
10002,63175
9762,960871
9525,295766
9286,60347
9046,947111
8813,525011
8577,01927
8346,505135
8123,141657
7900,480465
7681,299176
7467,664238
7255,798971
7053,334103
6850,699327
6653,414278
6458,356901
6268,135336
6079,420014
5898,837318
5720,932181
5549,287769
5379,119426
5215,280954
5053,72764
4900,244545
4745,738815
4593,672083
4447,549256
4304,481001
4165,462796
4029,272359
3896,897685
3765,968293
3635,97375
3510,348567
3386,021126
3266,409169
3145,66743
3029,404205
2912,235603
2797,451556
2690,414007
2582,740582
2474,456339
2368,23829
2264,52638
2160,634139
2059,119366
1957,132047
1861,090078
1764,730922
1665,103602
1568,3583
1474,613269
1383,909283
1286,923378
1199,363518
1105,606134
1018,230555
927,9215351
840,8853984
751,000449
664,7925718
578,7497886
490,0262472
404,7448685
320,1315213
233,016345
149,4508879
69,43018963
-18,86956248
-102,886529
-192,9258054
-278,5588073
-362,9444278
-447,4465977
-533,0830771
-620,4331831
-709,3677781
-796,5765472
-880,4706896
-973,4181852
-1061,988797
-1154,613315
-1245,796873
-1340,681279
-1438,086526
-1531,488119
-1632,044943
-1730,287119
-1829,042035
-1931,962806
-2036,72438
-2139,286283
-2249,580643
-2357,041171
-2471,198224
-2585,227278
-2700,701646
-2819,450514
-2944,352631
-3066,992508
-3191,866821
-3320,663069
-3453,426069
-3586,349518
-3723,628939
-3857,362159
-3998,13013
-4136,649476
-4280,198443
-4421,808068
-4564,379683
-4703,973348
-4845,913498
-4982,055538
-5115,392723
-5245,186067
-5368,487619
-5482,563501
-5587,537775
-5679,113881
-5756,271353
-5816,841034
-5856,711459
-5871,381095
-5858,552604
-5815,741708
-5737,246865
-5619,432287
-5459,899964
-5253,049764
-5000,019513
-4693,996479
-4335,330325
-3924,986777
-3465,693312
-2961,786875
-2424,243027
-1912,200735
-1355,864222
-714,5366771
0
769,2398185
1575,332877
2400,041835
3225,851432
4039,001353
4827,196499
5582,170109
6298,830498
6973,981466
7607,72552
8199,148142
8747,94272
9253,569296
9716,810001
10140,8026
10523,84985
10862,21729
11156,05548
11405,64611
11611,04282
11771,71463
11890,18647
11968,83467
12006,87431
12008,23551
11973,16729
11907,1174
11805,3915
11673,76588
11514,77556
11331,93673
11136,21091
10924,2396
10705,21661
10473,67894
10242,74824
10004,02771
9764,394977
9526,768012
9288,113838
9048,495575
8815,111539
8578,643822
8349,830193
8124,842104
7902,218766
7683,075253
7471,291772
7257,650331
7057,111792
6852,625535
6657,341156
6460,357425
6272,210234
6083,568414
5903,058844
5723,079303
5553,654295
5383,557761
5219,790594
5058,308045
4907,220438
4750,458989
4598,461186
4454,835274
4309,40586
4172,950203
4034,3299
3904,581623
3773,748516
3643,84885
3518,317069
3394,081487
3274,559779
3156,652999
3037,730198
2923,450252
2808,777003
2698,989224
2594,279664
2489,008493
2379,979739
2276,364544
2175,548851
2074,147074
1972,268621
1876,331264
1780,072345
1683,628203
1586,99226
1493,350911
1402,744792
1309,005372
1218,376767
1131,063273
1040,591015
953,5653803
863,3939648
780,0202086
690,6500579
607,8989403
522,4685071
437,2294904
352,6463841
268,8024477
185,2430628
105,2145942
23,39537505
-63,91190726
-147,5192712
-233,2344517
-317,7207165
-395,8986324
-481,6927782
-566,0213658
-651,9811571
-739,4402354
-817,2912428
-907,4290369
-996,3776332
-1083,198937
-1171,775225
-1261,065933
-1356,042854
-1447,101289
-1542,416503
-1638,525353
-1732,314156
-1830,431522
-1930,560188
-2028,667373
-2131,890643
-2235,311006
-2342,900015
-2453,337962
-2560,134162
-2673,203298
-2790,173268
-2907,821201
-3025,55994
-3145,223215
-3269,398806
-3396,638508
-3524,127039
-3651,003609
-3781,13793
-3911,992947
-4044,447919
-4177,971668
-4311,367549
-4440,881951
-4573,893643
-4702,279356
-4827,306634
-4946,749262
-5064,545641
-5171,361548
-5270,715909
-5358,333329
-5433,212955
-5493,203658
-5532,965227
-5551,746469
-5545,754005
-5511,266499
-5445,525906
-5342,46881
-5201,177499
-5016,204655
-4786,441927
-4508,460476
-4179,224599
-3799,124474
-3368,749193
-2890,856185
-2371,147001
-1819,299423
-1275,145624
-678,0052113
0
744,5775255
1537,673672
2361,26193
3196,889963
4027,652442
4839,952304
5623,298342
6368,399354
7073,10344
7733,898417
8350,852852
8924,918999
9454,003392
9940,005902
10383,54573
10787,66931
11148,82694
11466,10476
11737,14512
11965,7197
12148,59582
12286,58919
12384,81316
12439,21959
12456,73376
12434,10503
12378,22439
12289,81042
12169,22267
12016,84652
11835,86529
11636,91999
11420,62355
11191,80518
10953,68687
10708,25268
10460,7394
10206,5384
9955,620987
9705,122138
9450,213635
9203,129603
8954,70809
8710,531662
8472,060914
8235,248158
8006,766828
7779,527488
7555,470474
7341,172737
7125,309555
6921,144462
6714,922325
6517,194636
